,Precisión Global,Error Global,Diabetes,PN
bosques,0.8775510204081632,0.12244897959183676,0.45,0.9871794871794872
ADA,0.9489795918367347,0.05102040816326525,0.6666666666666666,1.0
XG Boosting,0.8673469387755102,0.13265306122448983,0.55,0.9487179487179487
arboles,0.8877551020408163,0.11224489795918367,0.6,0.9615384615384616
KNN,0.8775510204081632,0.12244897959183675,0.65,0.935897435897436
