,Precisión Global,Error Global,cero,cinco,cuatro,dos,nueve,ocho,seis,siete,tres,uno
arboles,0.863960504662644,0.13603949533735604,0.9484536082474226,0.7659574468085106,0.8187134502923976,0.8343558282208589,0.9005847953216374,0.6838235294117647,0.8520710059171598,0.8670886075949367,0.7948717948717948,0.9850187265917603
KNN,0.9308831596269885,0.06911684037301147,0.993127147766323,0.8439716312056738,0.9239766081871345,0.9263803680981595,0.9415204678362573,0.8235294117647058,0.9526627218934911,0.9493670886075949,0.8333333333333334,0.9962546816479401
