,Precisión Global,Error Global,PN,PP
bosques,0.614314115308151,0.38568588469184895,0.7508090614886731,0.39690721649484534
ADA,0.6540755467196819,0.34592445328031807,0.87248322147651,0.33658536585365856
XG Boosting,0.6600397614314115,0.3399602385685885,0.8640776699029126,0.33505154639175255
arboles,0.6898608349900597,0.3101391650099403,0.8511326860841424,0.4329896907216495
KNN,0.6441351888667992,0.3558648111332008,0.7605177993527508,0.4587628865979381
