,Precisión Global,Error Global,Diabetes,PN
svm,0.9081632653061225,0.09183673469387754,0.6,0.9871794871794872
bosques,0.8775510204081632,0.12244897959183675,0.45,0.9871794871794872
ADA,0.9489795918367347,0.05102040816326525,0.6666666666666666,1.0
XG Boosting,0.8673469387755102,0.13265306122448986,0.55,0.9487179487179488
arboles,0.8877551020408163,0.11224489795918367,0.6,0.9615384615384616
KNN,0.8775510204081632,0.12244897959183675,0.65,0.9358974358974358
